Source,Target,Type,Id,Label,Weight
UCWwgaK7x0_FR1goeSRazfsQ,UCVxotPxp9JUc4wBWmdyXhYQ,Directed,55,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCb95GzFiBNC8LgSh7Lituuw,Directed,56,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCIDWJwIVN9oJ1j7zLy16mYQ,Directed,57,,1
UCWwgaK7x0_FR1goeSRazfsQ,UC3bIN8b1WRGoCAsuWOHLLDg,Directed,58,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCWp7OnmyPO1eaFAe2mNJniw,Directed,59,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCjg8NBBRQ3BtZ1aEDR0AmiA,Directed,60,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCNHPnm8RtlOecbQvNoBSxZw,Directed,61,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCWLHbA1Jj8k8KwvoGnaedVw,Directed,62,,1
UCWwgaK7x0_FR1goeSRazfsQ,UC2C-970d2o-YGLPqsG6FcWQ,Directed,63,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCYSjF7_K6jBVzYVuqrE0uZA,Directed,64,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCSoIuziwZeoV5bAFEr2I-Hg,Directed,65,,1
UCWwgaK7x0_FR1goeSRazfsQ,UCBKAnR7PdFgkDdVyDDWI6HA,Directed,66,,1
UCWwgaK7x0_FR1goeSRazfsQ,UC5lBnVx2O3DQnZavygQPEwA,Directed,67,,1
UCBTDxCoWmk9O6M6g0y_vjZg,UCWwgaK7x0_FR1goeSRazfsQ,Directed,68,,1
UCBTDxCoWmk9O6M6g0y_vjZg,UCnEdfCdbxJJ9ouWKLSRCRRw,Directed,69,,1
UCBTDxCoWmk9O6M6g0y_vjZg,UC9KAEEmWnKkiBeskVPDYCZA,Directed,70,,1
UCBTDxCoWmk9O6M6g0y_vjZg,UCYSjF7_K6jBVzYVuqrE0uZA,Directed,71,,1
UCBTDxCoWmk9O6M6g0y_vjZg,UCdYayZ3AJjY8UzWgohOOrwA,Directed,72,,1
UCOzhlS-OV7GbCIzO19cPL-w,UCWwgaK7x0_FR1goeSRazfsQ,Directed,73,,1
UCOzhlS-OV7GbCIzO19cPL-w,UCD9BghRey5ZD-qdt60w0KoA,Directed,74,,1
UC3O8-tKnz9VUn3sxZKyKN3w,UCWwgaK7x0_FR1goeSRazfsQ,Directed,75,,1
UC3O8-tKnz9VUn3sxZKyKN3w,UCnEdfCdbxJJ9ouWKLSRCRRw,Directed,76,,1
UC3O8-tKnz9VUn3sxZKyKN3w,UCAKTynXMzOva5oThB6eEczw,Directed,77,,1
UC3O8-tKnz9VUn3sxZKyKN3w,UCdYayZ3AJjY8UzWgohOOrwA,Directed,78,,1
UC3O8-tKnz9VUn3sxZKyKN3w,UC9KAEEmWnKkiBeskVPDYCZA,Directed,79,,1
UC3O8-tKnz9VUn3sxZKyKN3w,UChO7xlACgCNpOOIA3Wk6MVQ,Directed,80,,1
UCSGD1TbYm5ZEZtGKQlkZ69A,UCWwgaK7x0_FR1goeSRazfsQ,Directed,81,,1
UCSGD1TbYm5ZEZtGKQlkZ69A,UCxACngbkZyGjrFuXBdMUIZw,Directed,82,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCWwgaK7x0_FR1goeSRazfsQ,Directed,83,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCnEdfCdbxJJ9ouWKLSRCRRw,Directed,84,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCD9BghRey5ZD-qdt60w0KoA,Directed,85,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCYSjF7_K6jBVzYVuqrE0uZA,Directed,86,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCBTDxCoWmk9O6M6g0y_vjZg,Directed,87,,1
UCamYoLu-bNaUKGvsjhDfnOw,UC9KAEEmWnKkiBeskVPDYCZA,Directed,88,,1
UCamYoLu-bNaUKGvsjhDfnOw,UC2PyUUBPi7llRGplhMuD4pQ,Directed,89,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCdYayZ3AJjY8UzWgohOOrwA,Directed,90,,1
UCamYoLu-bNaUKGvsjhDfnOw,UCb95GzFiBNC8LgSh7Lituuw,Directed,91,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UCWwgaK7x0_FR1goeSRazfsQ,Directed,92,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UCBTDxCoWmk9O6M6g0y_vjZg,Directed,93,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UCnEdfCdbxJJ9ouWKLSRCRRw,Directed,94,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UCD9BghRey5ZD-qdt60w0KoA,Directed,95,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UCkDAwuCKUcY1qn-hgNv0kLw,Directed,96,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UC2PyUUBPi7llRGplhMuD4pQ,Directed,97,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UChSbJwfLvZ3RLIv_sllE51g,Directed,98,,1
UCC7Pt4G2JPEj91qOdkc6RSw,UC-Zmz57JJyk99uUO0l27U5Q,Directed,99,,1
UCNd3VHIu7tWL58zBIMkODDw,UCWwgaK7x0_FR1goeSRazfsQ,Directed,100,,1
UCNd3VHIu7tWL58zBIMkODDw,UCI6U-DdjBWSbphJEgA8cn8A,Directed,101,,1
UCNd3VHIu7tWL58zBIMkODDw,UCOzhlS-OV7GbCIzO19cPL-w,Directed,102,,1
UCI6U-DdjBWSbphJEgA8cn8A,UCWwgaK7x0_FR1goeSRazfsQ,Directed,103,,1
UCI6U-DdjBWSbphJEgA8cn8A,UChSbJwfLvZ3RLIv_sllE51g,Directed,104,,1
UCI6U-DdjBWSbphJEgA8cn8A,UCNd3VHIu7tWL58zBIMkODDw,Directed,105,,1
UCI6U-DdjBWSbphJEgA8cn8A,UCOzhlS-OV7GbCIzO19cPL-w,Directed,106,,1
UCvI_B4l0n_So11Le_pThTqw,UC2C-970d2o-YGLPqsG6FcWQ,Directed,107,,1
UCvI_B4l0n_So11Le_pThTqw,UCWwgaK7x0_FR1goeSRazfsQ,Directed,108,,1
UCvI_B4l0n_So11Le_pThTqw,UCD9BghRey5ZD-qdt60w0KoA,Directed,109,,1
UCPh7YEYv4pRp_FBOkJ1pTzA,UC2C-970d2o-YGLPqsG6FcWQ,Directed,110,,1
UCPh7YEYv4pRp_FBOkJ1pTzA,UCWwgaK7x0_FR1goeSRazfsQ,Directed,111,,1
UCPh7YEYv4pRp_FBOkJ1pTzA,UCD9BghRey5ZD-qdt60w0KoA,Directed,112,,1
UC81_568oEU2QS04qVj6kLbA,UC2C-970d2o-YGLPqsG6FcWQ,Directed,113,,1
UC81_568oEU2QS04qVj6kLbA,UCWwgaK7x0_FR1goeSRazfsQ,Directed,114,,1
UC81_568oEU2QS04qVj6kLbA,UCD9BghRey5ZD-qdt60w0KoA,Directed,115,,1
UCk7WiZN-L-TftBqN1I9chYw,UCWwgaK7x0_FR1goeSRazfsQ,Directed,116,,1
UCk7WiZN-L-TftBqN1I9chYw,UCtORMiqZpygwriZ7T8w2kiQ,Directed,117,,1
UCk7WiZN-L-TftBqN1I9chYw,UCHtzUQUZVu5OO-NNGlF4Ujw,Directed,118,,1
UCHtzUQUZVu5OO-NNGlF4Ujw,UCk7WiZN-L-TftBqN1I9chYw,Directed,119,,1
UCHtzUQUZVu5OO-NNGlF4Ujw,UCtORMiqZpygwriZ7T8w2kiQ,Directed,120,,1
UCHtzUQUZVu5OO-NNGlF4Ujw,UCWwgaK7x0_FR1goeSRazfsQ,Directed,121,,1
UCLtCAYMG_x52ysStVXupb6g,UCWwgaK7x0_FR1goeSRazfsQ,Directed,122,,1
UCtORMiqZpygwriZ7T8w2kiQ,UCk7WiZN-L-TftBqN1I9chYw,Directed,123,,1
UCtORMiqZpygwriZ7T8w2kiQ,UCWwgaK7x0_FR1goeSRazfsQ,Directed,124,,1
UCtORMiqZpygwriZ7T8w2kiQ,UCHtzUQUZVu5OO-NNGlF4Ujw,Directed,125,,1
UChO7xlACgCNpOOIA3Wk6MVQ,UCnEdfCdbxJJ9ouWKLSRCRRw,Directed,126,,1
